CohortStatusType/npc_cohort_status_type/=SecurityIntegrityneutral_name|Compromised
CohortStatusType/npc_cohort_status_type/=SecurityIntegritystressed_name|Corrupt
CohortStatusType/npc_cohort_status_type/=SecurityIntegrityextremely_stressed_name|Deeply Corrupt
CohortStatusType/npc_cohort_status_type/=SecurityIntegritysatisfied_name|Mostly Just
CohortStatusType/npc_cohort_status_type/=SecurityIntegrityextremely_satisfied_name|Just
CohortStatusType/npc_cohort_status_type/=SecurityTrainingdisplay_name|Security Training
CohortStatusType/npc_cohort_status_type/=SecurityTrainingdescription|How well trained is District Security to peacefully or forcefully resolve situations?
CohortStatusType/npc_cohort_status_type/=AngerAtVigilantedisplay_name|Anger At Vigilante
CohortStatusType/npc_cohort_status_type/=AngerAtVigilantedescription|How angry is this group with the unknown vigilante that haunts the city?
CohortStatusType/npc_cohort_status_type/=AngerAtVigilanteneutral_name|Offended
CohortStatusType/npc_cohort_status_type/=AngerAtVigilantestressed_name|Displeased
CohortStatusType/npc_cohort_status_type/=AngerAtVigilanteextremely_stressed_name|Indifferent
CohortStatusType/npc_cohort_status_type/=AngerAtVigilantesatisfied_name|Resentful
CohortStatusType/npc_cohort_status_type/=AngerAtVigilanteextremely_satisfied_name|Enraged
CohortStatusType/npc_cohort_status_type/=WillingnessToAidVigilantedisplay_name|Willingness To Aid Vigilante
CohortStatusType/npc_cohort_status_type/=WillingnessToAidVigilantedescription|How likely is this group to want to provide assistance to the vigilante?
CohortStatusType/npc_cohort_status_type/=WillingnessToAidVigilanteneutral_name|Sympathetic
CohortStatusType/npc_cohort_status_type/=WillingnessToAidVigilantestressed_name|Passive
CohortStatusType/npc_cohort_status_type/=WillingnessToAidVigilantesatisfied_name|Committed
CohortStatusType/npc_cohort_status_type/=WillingnessToAidVigilanteextremely_satisfied_name|Activist
CohortStatusType/npc_cohort_status_type/=CorporateMoledisplay_name|Corporate Mole
CohortStatusType/npc_cohort_status_type/=CorporateMoledescription|How many spys have infilitrated this corporation?
CohortStatusType/npc_cohort_status_type/=BalanceofPowerdisplay_name|Balance of Power
CohortStatusType/npc_cohort_status_type/=BalanceofPowerdescription|What is the relative power of the C-Suite as a whole compared to the Board of Directors and the Sector Administration?
CohortStatusType/npc_cohort_status_type/=Executive Orderdisplay_name|Executive Order
CohortStatusType/npc_cohort_status_type/=Executive Orderdescription|What is the relative power of the Sector Administration as a whole compared to the C-Suite and the Board of Directors?
CohortStatusType/npc_cohort_status_type/=ShareholderSatisfactiondisplay_name|Shareholder Satisfaction
CohortStatusType/npc_cohort_status_type/=SectorAdministrationRivalrydisplay_name|Sector Administration Rivalry
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismVisualdisplay_name|Cyborg Realism (Visual)
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismVisualdescription|How realistic our cyborgs look; the higher the realism, the more people are fooled when looking at still images of our cyborgs or seeing them at a glance.
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismVisualneutral_name|Uncanny Valley
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismVisualextremely_stressed_name|Looks Plastic
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismVisualstressed_name|Not Realistic
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismVisualsatisfied_name|Still A Bit Uncanny
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismVisualextremely_satisfied_name|Highly Realistic
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismBehavioraldisplay_name|Cyborg Realism (Behavioral)
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismBehavioraldescription|How realistic our cyborgs behave, in all the small ways a human moves and acts.  The higher the realism, the more people and animals are fooled when spending extended amounts of time with our cyborgs.
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismBehavioralextremely_stressed_name|Clearly A Robot
CohortStatusType/npc_cohort_status_type/=Player_CyborgRealismBehavioralstressed_name|Draws Attention
CohortStatusType/npc_cohort_status_type/=Player_HackingSkilldisplay_name|Hacking Skill
CohortStatusType/npc_cohort_status_type/=Player_HackingSkilldescription|How good are we, in general, at cracking into hostile computing environments
CohortStatusType/npc_cohort_status_type/=Player_HackingSkillneutral_name|Basic Competence
CohortStatusType/npc_cohort_status_type/=Player_HackingSkillextremely_stressed_name|Very Unskilled
CohortStatusType/npc_cohort_status_type/=Player_HackingSkillstressed_name|Unskilled
CohortStatusType/npc_cohort_status_type/=Player_HackingSkillsatisfied_name|Quite Competent
CohortStatusType/npc_cohort_status_type/=Player_HackingSkillextremely_satisfied_name|Extremely Skilled
CohortStatusType/npc_cohort_status_type/=AvailableLawyersdisplay_name|Available Lawyers
CohortStatusType/npc_cohort_status_type/=AvailableLawyersdescription|How many lawyers they have available.
CohortStatusType/npc_cohort_status_type/=FearOfLawyerDeathdisplay_name|Fear Of Lawyer Death
CohortStatusType/npc_cohort_status_type/=FearOfLawyerDeathdescription|For whatever historical reasons, how afraid are they of their laywers getting killed?
CohortStatusType/npc_cohort_status_type/=LawExperiencedisplay_name|Law Experience
CohortStatusType/npc_cohort_status_type/=LawExperiencedescription|What is the average experience of the lawyers from this firm?
CohortStatusType/npc_cohort_status_type/=AvailableScientistsdisplay_name|Available Scientists
CohortStatusType/npc_cohort_status_type/=AvailableScientistsdescription|How many scientists they have available.
CohortStatusType/npc_cohort_status_type/=ScientificKnowledgedisplay_name|Scientific Knowledge
CohortStatusType/npc_cohort_status_type/=ScientificKnowledgedescription|What is the average scientific knowledge of the scientists from this science lab?
CohortStatusType/npc_cohort_status_type/=LabEquipmentdisplay_name|Lab Equipment
CohortStatusType/npc_cohort_status_type/=LabEquipmentdescription|What is the quality of scientific equipment for this science lab?
CohortStatusType/npc_cohort_status_type/=AvailableDoctorsdisplay_name|Available Doctors
CohortStatusType/npc_cohort_status_type/=AvailableDoctorsdescription|How many doctors they have available.
CohortStatusType/npc_cohort_status_type/=MedicalExperiencedisplay_name|Medical Experience
CohortStatusType/npc_cohort_status_type/=MedicalExperiencedescription|What is the average experience of the medical practitioners from this practice?
CohortStatusType/npc_cohort_status_type/=MedicalEquipmentdisplay_name|Medical Equipment
CohortStatusType/npc_cohort_status_type/=MedicalEquipmentdescription|What is the quality of medical equipment for this science lab?
CohortStatusType/npc_cohort_status_type/=AvailablePIdisplay_name|Available P.I.s
CohortStatusType/npc_cohort_status_type/=AvailablePIdescription|How many private investigators they have available.
CohortStatusType/npc_cohort_status_type/=InvestigativeSkillsdisplay_name|InvestigativeSkills
CohortStatusType/npc_cohort_status_type/=InvestigativeSkillsdescription|What is the relative investigative skill of this P.I. compared to others?
CohortStatusType/npc_cohort_status_type/=RatingThreshold_LooseCannondisplay_name|Loose Cannon
CohortStatusType/npc_cohort_status_type/=RatingThreshold_LooseCannondescription|How willing is this P.I. to do whatever it takes to finish the job?
CohortStatusType/npc_cohort_status_type/=AvailableMercenariesdisplay_name|Available Mercenaries
CohortStatusType/npc_cohort_status_type/=AvailableMercenariesdescription|How many mercenaries they have available.
CohortStatusType/npc_cohort_status_type/=CombatTraining_Mercenariesdisplay_name|Mercenary Combat Training
CohortStatusType/npc_cohort_status_type/=CombatTraining_Mercenariesdescription|What is the average combat training for mercenaries in this company?
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Greeddisplay_name|Mercenary Greed
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Greeddescription|How willing is this Paramilitary company to do whatever it takes to get their payday?
CohortStatusType/npc_cohort_status_type/=Munitions_Mercenariesdisplay_name|Mercenary Munitions
CohortStatusType/npc_cohort_status_type/=Munitions_Mercenariesdescription|How many munitions does this Paramilitary company have stockpiled?
CohortStatusType/npc_cohort_status_type/=AvailableRevolutionariesdisplay_name|Available Revolutionaries
CohortStatusType/npc_cohort_status_type/=AvailableRevolutionariesdescription|How many revolutionaries they have available.
CohortStatusType/npc_cohort_status_type/=CombatTraining_Revolutionariesdisplay_name|Resistance Combat Training
CohortStatusType/npc_cohort_status_type/=CombatTraining_Revolutionariesdescription|What is the average combat training for revolutionaries in this resistance group?
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Commitmentdisplay_name|Resistance Commitment
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Commitmentdescription|How willing is this resistance group to do whatever it takes to bring about their revolution?
CohortStatusType/npc_cohort_status_type/=Munitions_Revolutionariesdisplay_name|Resistance Munitions
CohortStatusType/npc_cohort_status_type/=Munitions_Revolutionariesdescription|How many munitions does this resistance group have stockpiled?
CohortStatusType/npc_cohort_status_type/=AvailableBrutesdisplay_name|Available Brutes
CohortStatusType/npc_cohort_status_type/=AvailableBrutesdescription|How many brutes they have available.
CohortStatusType/npc_cohort_status_type/=CombatTraining_Brutesdisplay_name|Gang Combat Training
CohortStatusType/npc_cohort_status_type/=CombatTraining_Brutesdescription|What is the average combat training for brutes in this gang?
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Bravadodisplay_name|Gang Bravado
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Bravadodescription|How reckless is this gang willing to be for the sake of its image?
CohortStatusType/npc_cohort_status_type/=StreetCreditdisplay_name|Street Credit
CohortStatusType/npc_cohort_status_type/=StreetCreditdescription|How 'respected' is this gang by criminal syndicates and other gangs?
CohortStatusType/npc_cohort_status_type/=Munitions_Gangdisplay_name|Gang Munitions
CohortStatusType/npc_cohort_status_type/=Munitions_Gangdescription|How many munitions does this gang have stockpiled?
CohortStatusType/npc_cohort_status_type/=Leadership_GangLeaderdisplay_name|Gang Leadership
CohortStatusType/npc_cohort_status_type/=Leadership_GangLeaderdescription|How distributed is leadership for this gang?
CohortStatusType/npc_cohort_status_type/=AvailableCultistsdisplay_name|Available Cultists
CohortStatusType/npc_cohort_status_type/=AvailableCultistsdescription|How many cultists they have available.
CohortStatusType/npc_cohort_status_type/=CultLeadersdisplay_name|Cult Leaders
CohortStatusType/npc_cohort_status_type/=CultLeadersdescription|How many leaders does this cult have?
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Zealdisplay_name|Cult Zeal
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Zealdescription|How zealously do cult members pursue their ideals?
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Prophecydisplay_name|Cult Prophecy
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Prophecydescription|How assured is this cult that their prophecy is nigh?
CohortStatusType/npc_cohort_status_type/=CultLeveragedisplay_name|Cult Leverage
CohortStatusType/npc_cohort_status_type/=CultLeveragedescription|How much leverage does a cult have over its target?
CohortStatusType/npc_cohort_status_type/=CultMystiquedisplay_name|Cult Mystique
CohortStatusType/npc_cohort_status_type/=CultMystiquedescription|How mysterious is this cult to outsiders and its own followers?
CohortStatusType/npc_cohort_status_type/=HumanSacrificesdisplay_name|Human Sacrifices
CohortStatusType/npc_cohort_status_type/=HumanSacrificesdescription|How many people have this cult captured for their dark rituals?
CohortStatusType/npc_cohort_status_type/=Recruitment_Henchmendisplay_name|Available Henchmen
CohortStatusType/npc_cohort_status_type/=Recruitment_Henchmendescription|How effective is this criminal syndicate in recruiting henchmen to fill the ranks?
CohortStatusType/npc_cohort_status_type/=CombatTraining_Henchmendisplay_name|Henchmen Combat Training
CohortStatusType/npc_cohort_status_type/=CombatTraining_Henchmendescription|What is the average combat training for Henchmen in this criminal syndicate?
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Connectionsdisplay_name|Syndicate Connections
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Connectionsdescription|How politically connected is this criminal syndicate for getting away with its activities?
CohortStatusType/npc_cohort_status_type/=Munitions_CriminalSyndicatedisplay_name|Syndicate Munitions
CohortStatusType/npc_cohort_status_type/=Munitions_CriminalSyndicatedescription|How many munitions does this criminal syndicate have stockpiled?
CohortStatusType/npc_cohort_status_type/=Syndicate_EyesandEarsdisplay_name|Syndicate Eyes and Ears
CohortStatusType/npc_cohort_status_type/=Syndicate_EyesandEarsdescription|How many sources of intel does this criminal syndicate have?
CohortStatusType/npc_cohort_status_type/=Wealth_CriminalSyndicatedisplay_name|Syndicate Wealth
CohortStatusType/npc_cohort_status_type/=Wealth_CriminalSyndicatedescription|How wealthy is this criminal syndicate?
CohortStatusType/npc_cohort_status_type/=Leadership_CrimeBossesdisplay_name|Crimeboss Leadership
CohortStatusType/npc_cohort_status_type/=Leadership_CrimeBossesdescription|How distributed is leadership for this criminal syndicate?
CohortStatusType/npc_cohort_status_type/=Recruitment_Worshipersdisplay_name|Available Worshipers
CohortStatusType/npc_cohort_status_type/=Recruitment_Worshipersdescription|How effective is this religious organization in converting new worshipers?
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Pietydisplay_name|Piety
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Pietydescription|How dogmatically do religious practitioners pursue their ideals?
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Proselytizationdisplay_name|Proselytization
CohortStatusType/npc_cohort_status_type/=RatingThreshold_Proselytizationdescription|How effective is this religious organization at converting new followers?
CohortStatusType/npc_cohort_status_type/=Shares_Religiousdisplay_name|Religious Shares
CohortStatusType/npc_cohort_status_type/=Shares_Religiousdescription|How dominant is a sect of a particular religion compared to other sects?
CohortStatusType/npc_cohort_status_type/=Wealth_Tithesdisplay_name|Tithing
CohortStatusType/npc_cohort_status_type/=Wealth_Tithesdescription|How financially well off is this religious organization?
